Moody's | 1993-08-04 | Ba1
Moody's | 1995-09-19 | Baa3
Moody's | 1999-08-11 | Ba2
Moody's | 2006-06-29 | Baa3
Moody's | 2008-06-19 | Ba1
Moody's | 2011-05-31 | Baa3
Moody's | 2014-07-28 | Baa2
Moody's | 2025-06-26 | Baa3
S&P | 2007-03-05 | BBB+
S&P | 2011-03-16 | BBB-
S&P | 2013-04-24 | BBB
S&P | 2017-12-11 | BBB-
S&P | 2021-05-19 | BB+
S&P | 2025-06-26 | BB
S&P | 2026-04-08 | BB-
Fitch | 1994-08-10 | BBB
Fitch | 2000-10-24 | BB+
Fitch | 2002-01-10 | BB
Fitch | 2007-06-21 | BB+
Fitch | 2011-06-22 | BBB-
Fitch | 2012-10-12 | BBB
Fitch | 2013-03-06 | BBB-
Fitch | 2013-12-10 | BBB
Fitch | 2020-04-01 | BBB-
Fitch | 2021-07-01 | BB+
