Moody's | 1989-07-18 | Baa2
Moody's | 1990-07-13 | Ba1
Moody's | 1996-12-19 | Baa3
Moody's | 1999-06-25 | Baa1
Moody's | 2000-11-14 | A3
Moody's | 2001-11-29 | A1
Moody's | 2006-02-22 | A2
Moody's | 2008-11-07 | A3
Moody's | 2009-03-31 | Baa1
Moody's | 2010-12-06 | Baa3
Moody's | 2013-02-08 | Ba1
Moody's | 2016-11-04 | Baa3
Moody's | 2021-09-24 | Baa2
S&P | 2009-03-30 | BBB-
S&P | 2012-11-23 | BB
S&P | 2015-03-20 | BB+
S&P | 2016-09-16 | BBB-
S&P | 2019-02-15 | BBB
S&P | 2023-01-27 | BBB-
Fitch | 1996-04-25 | BBB-
Fitch | 1998-07-02 | BBB
Fitch | 2000-09-21 | BBB+
Fitch | 2003-07-15 | A-
Fitch | 2005-12-06 | BBB+
Fitch | 2009-03-02 | BBB
Fitch | 2011-06-06 | BBB-
Fitch | 2012-08-17 | BB+
Fitch | 2016-05-20 | BBB-
Fitch | 2020-02-14 | BBB
