Moody's | 1997-12-17 | Baa2
Moody's | 2002-11-12 | A2
Moody's | 2008-11-07 | A3
Moody's | 2009-01-07 | Baa1
Moody's | 2009-04-23 | Baa3
Moody's | 2013-03-15 | Baa2
Moody's | 2014-06-13 | Baa1
Moody's | 2017-07-14 | A3
S&P | 2010-12-07 | BB+
S&P | 2012-05-02 | BBB-
S&P | 2012-11-09 | BBB
S&P | 2013-06-10 | BBB+
S&P | 2014-05-30 | A-
S&P | 2018-09-21 | A
S&P | 2020-02-21 | A+
S&P | 2024-05-31 | A
Fitch | 1998-06-29 | BBB
Fitch | 2003-11-04 | BBB+
Fitch | 2004-07-07 | A-
Fitch | 2007-08-17 | BBB+
Fitch | 2008-10-03 | BBB
Fitch | 2008-11-12 | BBB-
Fitch | 2009-04-08 | BB+
Fitch | 2011-03-15 | BBB-
Fitch | 2014-06-05 | BBB+
Fitch | 2014-09-19 | A-
