Moody's | 1996-03-06 | Ba3
Moody's | 1998-09-14 | B1
Moody's | 1998-11-06 | B3
Moody's | 2001-12-19 | B2
Moody's | 2002-12-16 | B1
Moody's | 2003-12-11 | Ba3
Moody's | 2005-03-02 | Ba1
Moody's | 2006-10-06 | Baa3
S&P | 2008-10-27 | BB+
S&P | 2014-05-16 | BBB-
Fitch | 1996-03-06 | BB-
Fitch | 1999-03-24 | B-
Fitch | 2000-11-16 | B
Fitch | 2002-06-14 | B+
Fitch | 2002-10-30 | BB-
Fitch | 2003-12-18 | BB
Fitch | 2004-11-17 | BBB-
Fitch | 2006-08-31 | BBB
Fitch | 2008-11-09 | BB+
Fitch | 2011-07-04 | BBB-
