Moody's | 1992-05-05 | Baa3
Moody's | 1994-01-13 | Ba1
Moody's | 1994-06-02 | Ba3
Moody's | 1997-03-13 | B1
Moody's | 2005-12-14 | Ba3
Moody's | 2013-05-16 | Baa3
Moody's | 2016-09-23 | Ba1
Moody's | 2018-03-07 | Ba2
Moody's | 2018-08-17 | Ba3
Moody's | 2019-06-14 | B1
Moody's | 2020-09-11 | B2
Moody's | 2022-08-12 | B3
Moody's | 2024-07-19 | B1
Moody's | 2025-07-25 | Ba3
S&P | 2010-02-19 | BB
S&P | 2013-03-27 | BB+
S&P | 2016-07-20 | BB
S&P | 2018-05-01 | BB-
S&P | 2018-08-17 | B+
S&P | 2022-09-30 | B
S&P | 2024-05-03 | B+
S&P | 2024-11-01 | BB-
Fitch | 1995-09-26 | BB-
Fitch | 1996-12-20 | B+
Fitch | 2000-09-21 | BB-
Fitch | 2001-04-02 | B+
Fitch | 2001-08-02 | B
Fitch | 2003-03-25 | B-
Fitch | 2003-09-25 | B
Fitch | 2004-02-09 | B+
Fitch | 2005-01-13 | BB-
Fitch | 2010-11-24 | BB+
Fitch | 2014-06-04 | BBB-
Fitch | 2018-01-19 | BB+
Fitch | 2018-07-13 | BB
Fitch | 2019-07-12 | BB-
Fitch | 2022-02-11 | B+
Fitch | 2022-07-08 | B
