Moody's | 1993-10-15 | Ba1
Moody's | 1997-06-10 | Baa3
Moody's | 2002-05-03 | Ba2
Moody's | 2002-07-10 | B1
Moody's | 2002-07-31 | B3
Moody's | 2006-12-21 | B1
Moody's | 2010-12-08 | Ba1
Moody's | 2012-07-31 | Baa3
Moody's | 2016-06-22 | Baa2
Moody's | 2024-03-15 | Baa1
S&P | 2011-07-25 | BB+
S&P | 2012-04-03 | BBB-
S&P | 2015-06-05 | BBB
S&P | 2023-04-26 | BBB+
Fitch | 1995-01-18 | BB+
Fitch | 1997-01-23 | BBB-
Fitch | 2004-03-29 | B
Fitch | 2005-03-07 | B+
Fitch | 2007-07-27 | BB-
Fitch | 2010-07-27 | BB
Fitch | 2012-04-24 | BB+
Fitch | 2018-04-05 | BBB-
