Moody's | 1994-10-03 | Baa3
Moody's | 2001-11-29 | Baa2
Moody's | 2005-01-11 | Baa1
Moody's | 2009-07-16 | A3
Moody's | 2013-07-17 | Baa1
Moody's | 2016-03-08 | Baa2
Moody's | 2017-06-09 | Baa3
Moody's | 2020-03-27 | Ba1
Moody's | 2020-11-20 | Ba2
S&P | 1995-08-01 | BBB+
S&P | 2012-10-12 | BBB
S&P | 2014-06-13 | BBB-
S&P | 2017-04-03 | BB+
S&P | 2017-11-24 | BB
S&P | 2020-04-29 | BB-
S&P | 2025-11-14 | BB
Fitch | 1994-09-22 | BB
Fitch | 2000-05-19 | BB+
Fitch | 2002-08-20 | BBB-
Fitch | 2008-06-17 | BBB+
Fitch | 2014-09-10 | BBB
Fitch | 2016-07-22 | BBB-
Fitch | 2017-04-07 | BB+
Fitch | 2020-04-03 | BB
Fitch | 2020-11-20 | BB-
